recipe_id,ingredient_name,amount,unit,is_alcohol,abv_percent
brandy_ziegler_wine,Ingredients not yet documented in this system,,,no,
gin_original,Made from 100% Grain,,,no,
gin_blood_orange,Gin,750,mL,yes,40
gin_blood_orange,Blood Orange Extract,2,mL,no,
gin_blueberry,Gin with Blueberries,,,no,
gin_caravan,Ingredients not yet documented in this system,,,no,
gin_caravan_2,Ingredients not yet documented in this system,,,no,
gin_cucumber_rosemary,Ingredients not yet documented in this system,,,no,
gin_elderberry,Ingredients not yet documented in this system,,,no,
gin_grapefruit,Ingredients not yet documented in this system,,,no,
gin_key_lime,Gin/Vodka base,750,mL,yes,40
gin_key_lime,Key Limes,1,lb,no,
gin_lavender,Gin,750,mL,yes,40
gin_lavender,Lavender,0.25,cups,no,
gin_mushroom,Gin,1500,mL,yes,40
gin_mushroom,Dried Button Mushrooms,0.33,cups,no,
gin_orange,Ingredients not yet documented in this system,,,no,
gin_butterfly_pea_blossom,Gin,5,gal,yes,40
gin_butterfly_pea_blossom,Butterfly Pea Blossoms,3,cups,no,
gin_plum,Gin with Plums,,,no,
gin_rhubarb,Gin,600,mL,yes,40
gin_rhubarb,Rhubarb Stalks,400,g,no,
gin_rhubarb,Sugar,655,g,no,
gin_rosemary_basil,Gin with Rosemary and Basil,,,no,
gin_giamatta_pepper,Ingredients not yet documented in this system,,,no,
gin_sloe,Ingredients not yet documented in this system,,,no,
gin_sage,Gin,750,mL,yes,40
gin_sage,Sage (qty not legible),1,each,no,
gin_spitfire,Ingredients not yet documented in this system,,,no,
gin_thyme,Ingredients not yet documented in this system,,,no,
liqueur_amaretto,Water,1.5,cups,no,
liqueur_amaretto,Sugar,1,cups,no,
liqueur_amaretto,Dark Brown Sugar,0.33,cups,no,
liqueur_amaretto,Almond Extract,2,tbsp,no,
liqueur_amaretto,Vanilla Extract,3,tbsp,no,
liqueur_amaretto,Vodka,2,cups,yes,40
liqueur_apple_pie,Apple Cider,1,qt,no,
liqueur_apple_pie,Apple Juice,1,qt,no,
liqueur_apple_pie,Sugar,3,cups,no,
liqueur_apple_pie,Cinnamon Sticks,8,each,no,
liqueur_apple_pie,GNS,1,qt,yes,93
liqueur_aperol,Vodka,300,mL,yes,40
liqueur_aperol,Water,300,mL,no,
liqueur_aperol,Orange Peels,3,each,no,
liqueur_aperol,Bitter Orange Peel,3,tbsp,no,
liqueur_aperol,Sugar,300,g,no,
liqueur_blue_cura_ao,Vodka,1000,mL,yes,40
liqueur_blue_cura_ao,Gin,1000,mL,yes,40
liqueur_blue_cura_ao,Orange Zest,12,each,no,
liqueur_blue_cura_ao,Dried Bitter Orange Peel,4,tbsp,no,
liqueur_blue_cura_ao,Cloves,32,each,no,
liqueur_blue_cura_ao,Sugar,8,cups,no,
liqueur_blue_cura_ao,Water,6,cups,no,
liqueur_campari,Alcohol (93%),1000,mL,yes,93
liqueur_campari,Gentian Root,30,g,no,
liqueur_campari,Dried Lemon Peel,20,g,no,
liqueur_campari,Rhubarb Root,20,g,no,
liqueur_campari,Angelica Root,15,g,no,
liqueur_campari,Wormwood,10,g,no,
liqueur_campari,Dried Ginseng Root,10,g,no,
liqueur_campari,Cherry Bark,10,g,no,
liqueur_campari,Orange Peel,1,each,no,
liqueur_campari,Grapefruit Peel,1,each,no,
liqueur_campari,Finishing Sugar,2.5,cups,no,
liqueur_campari,Finishing Water,4,cups,no,
liqueur_chocolate,Cocoa Powder,0.25,cups,no,
liqueur_chocolate,Water,2,cups,no,
liqueur_chocolate,Sugar,1,cups,no,
liqueur_chocolate,Vodka (60%),1,cups,yes,60
liqueur_coffee,Instant Coffee,12,oz,no,
liqueur_coffee,Sugar,10,lb,no,
liqueur_coffee,Vanilla Syrup,0.25,cups,no,
liqueur_coffee,Hot Water,24,cups,no,
liqueur_coffee,Alcohol (60%),27,cups,yes,60
liqueur_coquito,Alcohol (93%),1000,mL,yes,93
liqueur_coquito,Evaporated Milk,12,oz,no,
liqueur_coquito,Cream of Coconut,15,oz,no,
liqueur_coquito,Sweetened Condensed Milk,14,oz,no,
liqueur_coquito,Unsweetened Coconut Milk,13.5,oz,no,
liqueur_coquito,Water,8,cups,no,
liqueur_creme_de_menthe,Mint Leaves,3,cups,no,
liqueur_creme_de_menthe,Vodka,3,cups,yes,40
liqueur_creme_de_menthe,Sugar,3,cups,no,
liqueur_creme_de_menthe,Water,4,cups,no,
liqueur_elderflower,Ingredients not yet documented in this system,,,no,
liqueur_honey,Ingredients not yet documented in this system,,,no,
liqueur_irish_cream,Half & Half,1,cups,no,
liqueur_irish_cream,Sweetened Condensed Milk,14,oz,no,
liqueur_irish_cream,Chocolate Syrup,3,tbsp,no,
liqueur_irish_cream,Instant Coffee,1.5,tsp,no,
liqueur_irish_cream,Vanilla Extract,1,tsp,no,
liqueur_irish_cream,Irish Whiskey,375,mL,yes,40
liqueur_limoncello,Vodka or GNS,750,mL,yes,40
liqueur_limoncello,Lemon Peels,10,each,no,
liqueur_limoncello,Water,3.5,cups,no,
liqueur_limoncello,Sugar,2.5,cups,no,
liqueur_limoncello_max,Ingredients not yet documented in this system,,,no,
liqueur_maraschino,Vodka,1750,mL,yes,40
